OPPORTUNITY_ID,OPPORTUNITY_NAME,STAGE_NAME,STAGE_START_DATE,STAGE_END_DATE,DAYS_IN_STAGE,TOTAL_AMOUNT
0061T000014yO5uQAE,"Boston Properties - Electric and BTU Submetering Services - New York, NY",3 Discovery,2023-01-03 05:55:47 UTC,2023-02-22 22:02:55 UTC,50,1
0061T000014yO5uQAE,"Boston Properties - Electric and BTU Submetering Services - New York, NY",8 Abandoned,2023-02-22 22:02:55 UTC,2023-02-22 00:00:00 UTC,0,1
0061T000014z7g2QAA,Dayton - UPS Maintenance - Bloomberg,3 Discovery,2023-01-03 19:09:59 UTC,2023-02-15 16:56:35 UTC,43,152940
0061T000014z7g2QAA,Dayton - UPS Maintenance - Bloomberg,5 Negotiation/Review,2023-02-15 16:56:35 UTC,2023-02-16 15:04:59 UTC,1,152940
0061T000014z7g2QAA,Dayton - UPS Maintenance - Bloomberg,6 Won,2023-02-16 15:04:59 UTC,2023-02-16 00:00:00 UTC,0,152940
0061T000014z7h5QAA,FCX MC METER C&W PLAZA 10,4 Proposal Submitted,2023-01-03 19:21:06 UTC,2023-02-24 19:07:33 UTC,52,12128
0061T000014z7h5QAA,FCX MC METER C&W PLAZA 10,5 Negotiation/Review,2023-02-24 19:07:33 UTC,2023-02-27 14:10:24 UTC,3,12128
0061T000014z7h5QAA,FCX MC METER C&W PLAZA 10,6 Won,2023-02-27 14:10:24 UTC,2023-02-27 00:00:00 UTC,0,12128
0061T000014zFtHQAU,VNO_330 W 34th St_6th floor Prebuild,4 Proposal Submitted,2023-01-03 21:16:48 UTC,2023-04-04 18:44:52 UTC,91,10800
0061T000014zFtHQAU,VNO_330 W 34th St_6th floor Prebuild,5 Negotiation/Review,2023-04-04 18:44:52 UTC,2023-04-05 13:13:36 UTC,1,10800
0061T000014zFtHQAU,VNO_330 W 34th St_6th floor Prebuild,6 Won,2023-04-05 13:13:36 UTC,2023-04-05 00:00:00 UTC,0,10800
0061T0000150gseQAA,Durst - Via - Revel Water Meter,4 Proposal Submitted,2023-01-04 20:58:23 UTC,2023-01-27 15:50:34 UTC,23,13700
0061T0000150gseQAA,Durst - Via - Revel Water Meter,5 Negotiation/Review,2023-01-27 15:50:34 UTC,2023-01-30 13:44:18 UTC,3,13700
0061T0000150gseQAA,Durst - Via - Revel Water Meter,6 Won,2023-01-30 13:44:18 UTC,2023-01-30 00:00:00 UTC,0,13700
0061T0000150pDAQAY,Placer County Water Agency Solar Development,6 Won,2023-01-05 00:11:47 UTC,2023-02-02 20:47:36 UTC,28,4500
0061T0000150pDAQAY,Placer County Water Agency Solar Development,5 Negotiation/Review,2023-02-02 20:47:36 UTC,2023-02-28 00:00:00 UTC,26,4500
0061T000015687TQAQ,Port of Long Beach Energy Opportunities,1 Prospecting,2023-01-05 18:15:21 UTC,2024-01-22 19:42:42 UTC,382,1000000
0061T000015687TQAQ,Port of Long Beach Energy Opportunities,8 Abandoned,2024-01-22 19:42:42 UTC,2024-01-22 00:00:00 UTC,0,0
0061T0000156nm6QAA,FIC Elec Metering new elec room -Nan Fung - 1 Withrop Sq,4 Proposal Submitted,2023-01-06 16:49:08 UTC,2023-01-09 13:40:21 UTC,3,52890
0061T0000156nm6QAA,FIC Elec Metering new elec room -Nan Fung - 1 Withrop Sq,5 Negotiation/Review,2023-01-09 13:40:21 UTC,2023-01-10 10:41:50 UTC,1,52890
0061T0000156nm6QAA,FIC Elec Metering new elec room -Nan Fung - 1 Withrop Sq,6 Won,2023-01-10 10:41:50 UTC,2023-01-10 00:00:00 UTC,0,52890
0061T0000156nnnQAA,299 Park - Forest Electric - 34th Floor Multichannel Meter,4 Proposal Submitted,2023-01-06 17:05:42 UTC,2023-01-06 20:03:04 UTC,0,6400
0061T0000156nnnQAA,299 Park - Forest Electric - 34th Floor Multichannel Meter,5 Negotiation/Review,2023-01-06 20:03:04 UTC,2023-01-15 23:14:58 UTC,9,6400
0061T0000156nnnQAA,299 Park - Forest Electric - 34th Floor Multichannel Meter,6 Won,2023-01-15 23:14:58 UTC,2023-01-15 00:00:00 UTC,0,6400
0061T0000156o68QAA,Patriot Electric -  FCx 2 SCE meters 675 3rd - 10th floor,4 Proposal Submitted,2023-01-06 20:31:42 UTC,2023-01-20 13:33:26 UTC,14,7800
0061T0000156o68QAA,Patriot Electric -  FCx 2 SCE meters 675 3rd - 10th floor,5 Negotiation/Review,2023-01-20 13:33:26 UTC,2023-01-23 15:18:19 UTC,3,7800
0061T0000156o68QAA,Patriot Electric -  FCx 2 SCE meters 675 3rd - 10th floor,6 Won,2023-01-23 15:18:19 UTC,2023-01-23 00:00:00 UTC,0,7800
0061T0000156o7QQAQ,Patriot Electric - 675 3rd - 23rd floor 2 SCE meters,4 Proposal Submitted,2023-01-06 20:56:47 UTC,2023-01-20 13:34:33 UTC,14,7800
0061T0000156o7QQAQ,Patriot Electric - 675 3rd - 23rd floor 2 SCE meters,5 Negotiation/Review,2023-01-20 13:34:33 UTC,2023-01-23 15:24:40 UTC,3,7800
0061T0000156o7QQAQ,Patriot Electric - 675 3rd - 23rd floor 2 SCE meters,6 Won,2023-01-23 15:24:40 UTC,2023-01-23 00:00:00 UTC,0,7800
0061T0000156okvQAA,O&M - ACNR,3 Discovery,2023-01-07 12:36:39 UTC,2023-05-01 14:18:31 UTC,114,24000000
0061T0000156okvQAA,O&M - ACNR,4 Proposal Submitted,2023-05-01 14:18:31 UTC,2023-05-19 10:21:37 UTC,18,24000000
0061T0000156okvQAA,O&M - ACNR,5 Negotiation/Review,2023-05-19 10:21:37 UTC,2023-08-21 12:25:53 UTC,94,24000000
0061T0000156okvQAA,O&M - ACNR,6 Won,2023-08-21 12:25:53 UTC,2023-08-21 00:00:00 UTC,0,24000000
0061T00001572glQAA,IT Security Implementation- Danone- DALLAS TX,4 Proposal Submitted,2023-01-09 15:12:14 UTC,2023-05-12 13:31:35 UTC,123,9000
0061T00001572glQAA,IT Security Implementation- Danone- DALLAS TX,5 Negotiation/Review,2023-05-12 13:31:35 UTC,2023-05-15 15:00:12 UTC,3,7200
0061T00001572glQAA,IT Security Implementation- Danone- DALLAS TX,6 Won,2023-05-15 15:00:12 UTC,2023-05-15 00:00:00 UTC,0,7200
0061T00001572heQAA,Enterprise Energy Management 60 First St Anchorline Cambridge MA,1 Prospecting,2023-01-09 15:21:05 UTC,2023-08-04 19:15:43 UTC,207,100000
0061T00001572heQAA,Enterprise Energy Management 60 First St Anchorline Cambridge MA,8 Abandoned,2023-08-04 19:15:43 UTC,2023-08-04 00:00:00 UTC,0,100000
0061T00001576tyQAA,FGE - 733 3rd - FCx 2 PM 5340 meters,4 Proposal Submitted,2023-01-09 16:31:18 UTC,2023-01-10 13:56:25 UTC,1,7800
0061T00001576tyQAA,FGE - 733 3rd - FCx 2 PM 5340 meters,5 Negotiation/Review,2023-01-10 13:56:25 UTC,2023-01-10 18:06:59 UTC,0,7800
0061T00001576tyQAA,FGE - 733 3rd - FCx 2 PM 5340 meters,6 Won,2023-01-10 18:06:59 UTC,2023-01-10 00:00:00 UTC,0,7800
0061T0000157B9FQAU,"Energy Management - BIOMED REALTY TRUST - Cambridge, MA",4 Proposal Submitted,2023-01-09 18:09:21 UTC,2023-03-08 13:07:22 UTC,58,766279.746
